minbound,shape,unit
-37.8,36,4.2
-100.8,21,4.2
0,12,3.2

IX,IY,IZ,value
0,0,0,1
0,0,1,1
0,0,2,1
0,0,3,1
0,0,4,1
0,0,5,1
0,0,6,1
0,0,7,1
0,0,8,1
0,0,9,1
0,0,10,1
0,0,11,1
0,1,0,1
0,1,1,1
0,1,2,1
0,1,3,1
0,1,4,1
0,1,5,1
0,1,6,1
0,1,7,1
0,1,8,1
0,1,9,1
0,1,10,1
0,1,11,1
0,2,0,1
0,2,1,0.0307264
0,2,2,0.0299463
0,2,3,0.0286477
0,2,4,0.0268325
0,2,5,0.0245037
0,2,6,0.0216648
0,2,7,0.0183204
0,2,8,0.0144756
0,2,9,0.0101361
0,2,10,0.00530859
0,2,11,0
0,3,0,1
0,3,1,0.0489814
0,3,2,0.0481864
0,3,3,0.0468629
0,3,4,0.0450131
0,3,5,0.04264
0,3,6,0.0397476
0,3,7,0.0363404
0,3,8,0.0324239
0,3,9,0.0280044
0,3,10,0.0230885
0,3,11,0.0176839
0,4,0,1
0,4,1,0.0666626
0,4,2,0.0658526
0,4,3,0.0645041
0,4,4,0.0626195
0,4,5,0.0602019
0,4,6,0.0572556
0,4,7,0.0537854
0,4,8,0.049797
0,4,9,0.045297
0,4,10,0.0402926
0,4,11,0.0347916
0,5,0,1
0,5,1,0.0837368
0,5,2,0.0829117
0,5,3,0.0815382
0,5,4,0.0796187
0,5,5,0.0771566
0,5,6,0.0741563
0,5,7,0.070623
0,5,8,0.0665627
0,5,9,0.0619823
0,5,10,0.0568893
0,5,11,0.051292
0,6,0,1
0,6,1,0.100169
0,6,2,0.0993293
0,6,3,0.0979308
0,6,4,0.0959765
0,6,5,0.09347
0,6,6,0.0904159
0,6,7,0.0868196
0,6,8,0.0826876
0,6,9,0.0780271
0,6,10,0.072846
0,6,11,0.067153
0,7,0,1
0,7,1,1
0,7,2,1
0,7,3,1
0,7,4,1
0,7,5,1
0,7,6,1
0,7,7,1
0,7,8,1
0,7,9,1
0,7,10,1
0,7,11,1
0,8,0,1
0,8,1,1
0,8,2,1
0,8,3,1
0,8,4,1
0,8,5,1
0,8,6,1
0,8,7,1
0,8,8,1
0,8,9,1
0,8,10,1
0,8,11,1
0,9,0,1
0,9,1,1
0,9,2,1
0,9,3,1
0,9,4,1
0,9,5,1
0,9,6,1
0,9,7,1
0,9,8,1
0,9,9,1
0,9,10,1
0,9,11,1
0,10,0,1
0,10,1,1
0,10,2,1
0,10,3,1
0,10,4,1
0,10,5,1
0,10,6,1
0,10,7,1
0,10,8,1
0,10,9,1
0,10,10,1
0,10,11,1
0,11,0,1
0,11,1,1
0,11,2,1
0,11,3,1
0,11,4,1
0,11,5,1
0,11,6,1
0,11,7,1
0,11,8,1
0,11,9,1
0,11,10,1
0,11,11,1
0,12,0,1
0,12,1,1
0,12,2,1
0,12,3,1
0,12,4,1
0,12,5,1
0,12,6,1
0,12,7,1
0,12,8,1
0,12,9,1
0,12,10,1
0,12,11,1
0,13,0,1
0,13,1,1
0,13,2,1
0,13,3,1
0,13,4,1
0,13,5,1
0,13,6,1
0,13,7,1
0,13,8,1
0,13,9,1
0,13,10,1
0,13,11,1
0,14,0,1
0,14,1,1
0,14,2,1
0,14,3,1
0,14,4,1
0,14,5,1
0,14,6,1
0,14,7,1
0,14,8,1
0,14,9,1
0,14,10,1
0,14,11,1
0,15,0,1
0,15,1,1
0,15,2,1
0,15,3,1
0,15,4,1
0,15,5,1
0,15,6,1
0,15,7,1
0,15,8,1
0,15,9,1
0,15,10,1
0,15,11,1
0,16,0,1
0,16,1,1
