minbound,shape,unit
-37.8,36,4.2
-100.8,21,4.2
0,12,3.2

IX,IY,IZ,value
0,0,0,0
0,0,1,0
0,0,2,0
0,0,3,0
0,0,4,0
0,0,5,0
0,0,6,0
0,0,7,0
0,0,8,0
0,0,9,0
0,0,10,0
0,0,11,0
0,1,0,0
0,1,1,0
0,1,2,0
0,1,3,0
0,1,4,0
0,1,5,0
0,1,6,0
0,1,7,0
0,1,8,0
0,1,9,0
0,1,10,0
0,1,11,0
0,2,0,0
0,2,1,1
0,2,2,0.999833
0,2,3,0.999955
0,2,4,0.999844
0,2,5,0.999917
0,2,6,0.999861
0,2,7,0.999885
0,2,8,0.999885
0,2,9,0.999861
0,2,10,0.999917
0,2,11,0.999844
0,3,0,0
0,3,1,0.999859
0,3,2,0.999693
0,3,3,0.999814
0,3,4,0.999703
0,3,5,0.999776
0,3,6,0.99972
0,3,7,0.999745
0,3,8,0.999745
0,3,9,0.99972
0,3,10,0.999776
0,3,11,0.999703
0,4,0,0
0,4,1,0.999683
0,4,2,0.999516
0,4,3,0.999637
0,4,4,0.999526
0,4,5,0.999599
0,4,6,0.999544
0,4,7,0.999568
0,4,8,0.999568
0,4,9,0.999544
0,4,10,0.999599
0,4,11,0.999526
0,5,0,0
0,5,1,0.999513
0,5,2,0.999346
0,5,3,0.999468
0,5,4,0.999356
0,5,5,0.999429
0,5,6,0.999374
0,5,7,0.999398
0,5,8,0.999398
0,5,9,0.999374
0,5,10,0.999429
0,5,11,0.999356
0,6,0,0
0,6,1,0.99935
0,6,2,0.999183
0,6,3,0.999305
0,6,4,0.999194
0,6,5,0.999267
0,6,6,0.999211
0,6,7,0.999235
0,6,8,0.999235
0,6,9,0.999211
0,6,10,0.999267
0,6,11,0.999194
0,7,0,0
0,7,1,0
0,7,2,0
0,7,3,0
0,7,4,0
0,7,5,0
0,7,6,0
0,7,7,0
0,7,8,0
0,7,9,0
0,7,10,0
0,7,11,0
0,8,0,0
0,8,1,0
0,8,2,0
0,8,3,0
0,8,4,0
0,8,5,0
0,8,6,0
0,8,7,0
0,8,8,0
0,8,9,0
0,8,10,0
0,8,11,0
0,9,0,0
0,9,1,0
0,9,2,0
0,9,3,0
0,9,4,0
0,9,5,0
0,9,6,0
0,9,7,0
0,9,8,0
0,9,9,0
0,9,10,0
0,9,11,0
0,10,0,0
0,10,1,0
0,10,2,0
0,10,3,0
0,10,4,0
0,10,5,0
0,10,6,0
0,10,7,0
0,10,8,0
0,10,9,0
0,10,10,0
0,10,11,0
0,11,0,0
0,11,1,0
0,11,2,0
0,11,3,0
0,11,4,0
0,11,5,0
0,11,6,0
0,11,7,0
0,11,8,0
0,11,9,0
0,11,10,0
0,11,11,0
0,12,0,0
0,12,1,0
0,12,2,0
0,12,3,0
0,12,4,0
0,12,5,0
0,12,6,0
0,12,7,0
0,12,8,0
0,12,9,0
0,12,10,0
0,12,11,0
0,13,0,0
0,13,1,0
0,13,2,0
0,13,3,0
0,13,4,0
0,13,5,0
0,13,6,0
0,13,7,0
0,13,8,0
0,13,9,0
0,13,10,0
0,13,11,0
0,14,0,0
0,14,1,0
0,14,2,0
0,14,3,0
0,14,4,0
0,14,5,0
0,14,6,0
0,14,7,0
0,14,8,0
0,14,9,0
0,14,10,0
0,14,11,0
0,15,0,0
0,15,1,0
0,15,2,0
0,15,3,0
0,15,4,0
0,15,5,0
0,15,6,0
0,15,7,0
0,15,8,0
0,15,9,0
0,15,10,0
0,15,11,0
0,16,0,0
0,16,1,0
0,16,2,0
0,16,3,0
0,16,4,0
0,16,5,0
0,16,6,0
0,16,7,0
0,16,8,0
0,16,9,0
0,16,10,0
0,16,11,0
0,17,0,0
0,17,1,0
0,17,2,0
0,17,3,0
0,17,4,0
0,17,5,0
0,17,6,0
0,17,7,0
0,17,8,0
0,17,9,0
0,17,10,0
0,17,11,0
0,18,0,0
0,18,1,0
0,18,2,0
0,18,3,0
0,18,4,0
0,18,5,0
0,18,6,0
0,18,7,0
0,18,8,0
0,18,9,0
0,18,10,0
0,18,11,0
0,19,0,0
0,19,1,0
0,19,2,0
0,19,3,0
0,19,4,0
0,19,5,0
0,19,6,0
0,19,7,0
0,19,8,0
0,19,9,0
0,19,10,0
0,19,11,0
0,20,0,0
0,20,1,0
0,20,2,0
0,20,3,0
0,20,4,0
0,20,5,0
0,20,6,0
0,20,7,0
0,20,8,0
0,20,9,0
0,20,10,0
0,20,11,0
1,0,0,0
1,0,1,0
1,0,2,0
1,0,3,0
1,0,4,0
1,0,5,0
1,0,6,0
1,0,7,0
1,0,8,0
1,0,9,0
1,0,10,0
1,0,11,0
1,1,0,0
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,1,7,0
1,1,8,0
1,1,9,0
1,1,10,0
1,1,11,0
1,2,0,0
1,2,1,0.972335
1,2,2,0.972163
1,2,3,0.972288
1,2,4,0.972174
1,2,5,0.972249
1,2,6,0.972192
1,2,7,0.972217
1,2,8,0.972217
1,2,9,0.972192
1,2,10,0.972249
1,2,11,0.972174
1,3,0,0
1,3,1,0.97219
1,3,2,0.972019
1,3,3,0.972144
1,3,4,0.97203
1,3,5,0.972105
1,3,6,0.972047
1,3,7,0.972072
1,3,8,0.972072
1,3,9,0.972047
1,3,10,0.972105
1,3,11,0.97203
1,4,0,0
1,4,1,0.972013
1,4,2,0.971841
1,4,3,0.971967
1,4,4,0.971852
1,4,5,0.971927
1,4,6,0.97187
1,4,7,0.971895
1,4,8,0.971895
1,4,9,0.97187
1,4,10,0.971927
1,4,11,0.971852
1,5,0,0
1,5,1,0.971843
1,5,2,0.971671
1,5,3,0.971796
1,5,4,0.971682
1,5,5,0.971757
1,5,6,0.9717
1,5,7,0.971725
1,5,8,0.971725
1,5,9,0.9717
1,5,10,0.971757
1,5,11,0.971682
1,6,0,0
1,6,1,0.97168
1,6,2,0.971508
1,6,3,0.971634
1,6,4,0.971519
1,6,5,0.971594
1,6,6,0.971537
1,6,7,0.971562
1,6,8,0.971562
1,6,9,0.971537
1,6,10,0.971594
1,6,11,0.971519
1,7,0,0
1,7,1,0.971524
1,7,2,0.971353
1,7,3,0.971478
1,7,4,0.971363
1,7,5,0.971439
1,7,6,0.971381
1,7,7,0.971406
1,7,8,0.971406
1,7,9,0.971381
1,7,10,0.971439
1,7,11,0.971363
1,8,0,0
1,8,1,0.971376
1,8,2,0.971204
1,8,3,0.97133
1,8,4,0.971215
1,8,5,0.97129
1,8,6,0.971233
1,8,7,0.971258
1,8,8,0.971258
1,8,9,0.971233
1,8,10,0.97129
1,8,11,0.971215
1,9,0,0
1,9,1,0.971235
1,9,2,0.971063
1,9,3,0.971188
1,9,4,0.971074
1,9,5,0.971149
1,9,6,0.971092
1,9,7,0.971117
1,9,8,0.971117
1,9,9,0.971092
1,9,10,0.971149
1,9,11,0.971074
1,10,0,0
1,10,1,0.971101
1,10,2,0.970929
1,10,3,0.971055
1,10,4,0.97094
1,10,5,0.971015
1,10,6,0.970958
1,10,7,0.970983
1,10,8,0.970983
1,10,9,0.970958
1,10,10,0.971015
1,10,11,0.97094
1,11,0,0
1,11,1,0.970974
1,11,2,0.970803
1,11,3,0.970928
1,11,4,0.970813
1,11,5,0.970889
1,11,6,0.970831
1,11,7,0.970856
1,11,8,0.970856
1,11,9,0.970831
1,11,10,0.970889
1,11,11,0.970813
1,12,0,0
1,12,1,0.970855
1,12,2,0.970683
1,12,3,0.970809
1,12,4,0.970694
1,12,5,0.970769
1,12,6,0.970712
1,12,7,0.970737
1,12,8,0.970737
1,12,9,0.970712
1,12,10,0.970769
1,12,11,0.970694
1,13,0,0
1,13,1,0.970743
1,13,2,0.970571
1,13,3,0.970696
1,13,4,0.970582
1,13,5,0.970657
1,13,6,0.9706
1,13,7,0.970625
1,13,8,0.970625
1,13,9,0.9706
1,13,10,0.970657
1,13,11,0.970582
1,14,0,0
1,14,1,0.970631
1,14,2,0.970459
1,14,3,0.970584
1,14,4,0.97047
1,14,5,0.970545
1,14,6,0.970488
1,14,7,0.970513
1,14,8,0.970513
1,14,9,0.970488
1,14,10,0.970545
1,14,11,0.97047
1,15,0,0
1,15,1,0.97045
1,15,2,0.970278
1,15,3,0.970404
1,15,4,0.970289
1,15,5,0.970364
1,15,6,0.970307
1,15,7,0.970332
1,15,8,0.970332
1,15,9,0.970307
1,15,10,0.970364
1,15,11,0.970289
1,16,0,0
1,16,1,0.970277
1,16,2,0.970105
1,16,3,0.97023
1,16,4,0.970116
1,16,5,0.970191
1,16,6,0.970134
1,16,7,0.970159
1,16,8,0.970159
1,16,9,0.970134
1,16,10,0.970191
1,16,11,0.970116
1,17,0,0
1,17,1,0.970111
1,17,2,0.969939
1,17,3,0.970064
1,17,4,0.96995
1,17,5,0.970025
1,17,6,0.969968
1,17,7,0.969993
1,17,8,0.969993
1,17,9,0.969968
1,17,10,0.970025
1,17,11,0.96995
1,18,0,0
1,18,1,0.969952
1,18,2,0.96978
1,18,3,0.969906
1,18,4,0.969791
1,18,5,0.969866
1,18,6,0.969809
1,18,7,0.969834
1,18,8,0.969834
1,18,9,0.969809
1,18,10,0.969866
1,18,11,0.969791
1,19,0,0
1,19,1,0.969801
1,19,2,0.969629
1,19,3,0.969754
1,19,4,0.96964
1,19,5,0.969715
1,19,6,0.969657
1,19,7,0.969683
1,19,8,0.969683
1,19,9,0.969657
1,19,10,0.969715
1,19,11,0.96964
1,20,0,0
1,20,1,0.969656
1,20,2,0.969485
1,20,3,0.96961
1,20,4,0.969495
1,20,5,0.969571
1,20,6,0.969513
1,20,7,0.969538
1,20,8,0.969538
1,20,9,0.969513
1,20,10,0.969571
1,20,11,0.969495
2,0,0,0
2,0,1,0
2,0,2,0
2,0,3,0
2,0,4,0
2,0,5,0
2,0,6,0
2,0,7,0
2,0,8,0
2,0,9,0
2,0,10,0
2,0,11,0
2,1,0,0
2,1,1,0
2,1,2,0
2,1,3,0
2,1,4,0
2,1,5,0
2,1,6,0
2,1,7,0
2,1,8,0
2,1,9,0
2,1,10,0
2,1,11,0
2,2,0,0
2,2,1,0.94467
2,2,2,0.944494
2,2,3,0.944623
2,2,4,0.944505
2,2,5,0.944582
2,2,6,0.944523
2,2,7,0.944549
2,2,8,0.944549
2,2,9,0.944523
2,2,10,0.944582
2,2,11,0.944505
2,3,0,0
2,3,1,0.944522
2,3,2,0.944345
2,3,3,0.944474
2,3,4,0.944356
2,3,5,0.944433
2,3,6,0.944374
2,3,7,0.9444
2,3,8,0.9444
2,3,9,0.944374
2,3,10,0.944433
2,3,11,0.944356
2,4,0,0
2,4,1,0.944344
2,4,2,0.944167
2,4,3,0.944296
2,4,4,0.944178
2,4,5,0.944255
2,4,6,0.944197
2,4,7,0.944222
2,4,8,0.944222
2,4,9,0.944197
2,4,10,0.944255
2,4,11,0.944178
2,5,0,0
2,5,1,0.944173
2,5,2,0.943997
2,5,3,0.944125
2,5,4,0.944008
2,5,5,0.944085
2,5,6,0.944026
2,5,7,0.944052
2,5,8,0.944052
2,5,9,0.944026
2,5,10,0.944085
2,5,11,0.944008
2,6,0,0
2,6,1,0.94401
2,6,2,0.943834
2,6,3,0.943962
2,6,4,0.943845
2,6,5,0.943922
2,6,6,0.943863
2,6,7,0.943889
2,6,8,0.943889
2,6,9,0.943863
2,6,10,0.943922
2,6,11,0.943845
2,7,0,0
2,7,1,0.943855
2,7,2,0.943678
2,7,3,0.943807
2,7,4,0.943689
2,7,5,0.943766
2,7,6,0.943707
2,7,7,0.943733
2,7,8,0.943733
2,7,9,0.943707
2,7,10,0.943766
2,7,11,0.943689
2,8,0,0
2,8,1,0.943706
2,8,2,0.94353
2,8,3,0.943659
2,8,4,0.943541
2,8,5,0.943618
2,8,6,0.943559
2,8,7,0.943585
2,8,8,0.943585
2,8,9,0.943559
2,8,10,0.943618
2,8,11,0.943541
2,9,0,0
2,9,1,0.943566
2,9,2,0.943389
2,9,3,0.943518
2,9,4,0.9434
2,9,5,0.943477
2,9,6,0.943419
2,9,7,0.943444
2,9,8,0.943444
2,9,9,0.943419
2,9,10,0.943477
2,9,11,0.9434
2,10,0,0
2,10,1,0.943433
2,10,2,0.943256
2,10,3,0.943385
2,10,4,0.943267
2,10,5,0.943344
2,10,6,0.943285
2,10,7,0.943311
2,10,8,0.943311
2,10,9,0.943285
2,10,10,0.943344
2,10,11,0.943267
2,11,0,0
2,11,1,0.943307
2,11,2,0.94313
2,11,3,0.943259
2,11,4,0.943141
2,11,5,0.943218
2,11,6,0.94316
2,11,7,0.943185
2,11,8,0.943185
2,11,9,0.94316
2,11,10,0.943218
2,11,11,0.943141
2,12,0,0
2,12,1,0.943189
2,12,2,0.943012
2,12,3,0.943141
2,12,4,0.943023
2,12,5,0.9431
2,12,6,0.943041
2,12,7,0.943067
2,12,8,0.943067
2,12,9,0.943041
2,12,10,0.9431
2,12,11,0.943023
2,13,0,0
2,13,1,0.943078
2,13,2,0.942901
2,13,3,0.94303
2,13,4,0.942912
2,13,5,0.942989
2,13,6,0.942931
2,13,7,0.942956
2,13,8,0.942956
2,13,9,0.942931
2,13,10,0.942989
2,13,11,0.942912
2,14,0,0
2,14,1,0.942962
2,14,2,0.942786
2,14,3,0.942914
2,14,4,0.942797
2,14,5,0.942874
2,14,6,0.942815
2,14,7,0.942841
2,14,8,0.942841
2,14,9,0.942815
2,14,10,0.942874
2,14,11,0.942797
2,15,0,0
2,15,1,0.942781
2,15,2,0.942604
2,15,3,0.942733
2,15,4,0.942615
2,15,5,0.942693
2,15,6,0.942634
2,15,7,0.94266
2,15,8,0.94266
2,15,9,0.942634
2,15,10,0.942693
2,15,11,0.942615
2,16,0,0
2,16,1,0.942607
2,16,2,0.942431
2,16,3,0.94256
2,16,4,0.942442
2,16,5,0.942519
2,16,6,0.94246
2,16,7,0.942486
2,16,8,0.942486
2,16,9,0.94246
2,16,10,0.942519
2,16,11,0.942442
2,17,0,0
2,17,1,0.942441
2,17,2,0.942264
2,17,3,0.942393
2,17,4,0.942275
2,17,5,0.942353
2,17,6,0.942294
2,17,7,0.94232
2,17,8,0.94232
2,17,9,0.942294
2,17,10,0.942353
2,17,11,0.942275
2,18,0,0
2,18,1,0.942282
2,18,2,0.942105
2,18,3,0.942234
2,18,4,0.942116
2,18,5,0.942194
2,18,6,0.942135
2,18,7,0.942161
2,18,8,0.942161
2,18,9,0.942135
2,18,10,0.942194
2,18,11,0.942116
2,19,0,0
2,19,1,0.942131
2,19,2,0.941954
2,19,3,0.942083
2,19,4,0.941965
2,19,5,0.942043
2,19,6,0.941984
2,19,7,0.942009
2,19,8,0.942009
2,19,9,0.941984
2,19,10,0.942043
2,19,11,0.941965
2,20,0,0
2,20,1,0.941987
2,20,2,0.94181
2,20,3,0.941939
2,20,4,0.941821
2,20,5,0.941899
2,20,6,0.94184
2,20,7,0.941865
2,20,8,0.941865
2,20,9,0.94184
2,20,10,0.941899
2,20,11,0.941821
3,0,0,0
3,0,1,0
3,0,2,0
3,0,3,0
3,0,4,0
3,0,5,0
3,0,6,0
3,0,7,0
3,0,8,0
3,0,9,0
3,0,10,0
3,0,11,0
3,1,0,0
3,1,1,0
3,1,2,0
3,1,3,0
3,1,4,0
