minbound,shape,unit
-37.8,36,4.2
-100.8,21,4.2
0,12,3.2

IX,IY,IZ,value
0,0,0,5.20384
0,0,1,6.10901
0,0,2,8.24864
0,0,3,10.9197
0,0,4,13.8174
0,0,5,16.825
0,0,6,19.8927
0,0,7,22.9965
0,0,8,26.1236
0,0,9,29.2664
0,0,10,32.4204
0,0,11,35.5826
0,1,0,9.20869
0,1,1,9.74885
0,1,2,11.2143
0,1,3,13.3026
0,1,4,15.7683
0,1,5,18.4608
0,1,6,21.2941
0,1,7,24.219
0,1,8,27.2059
0,1,9,30.2364
0,1,10,33.2986
0,1,11,36.3846
0,2,0,9.20869
0,2,1,9.74885
0,2,2,11.2143
0,2,3,13.3026
0,2,4,15.7683
0,2,5,18.4608
0,2,6,21.2941
0,2,7,24.219
0,2,8,27.2059
0,2,9,30.2364
0,2,10,33.2986
0,2,11,36.3846
0,3,0,9.20217
0,3,1,9.74269
0,3,2,11.2089
0,3,3,13.2981
0,3,4,15.7645
0,3,5,18.4575
0,3,6,21.2913
0,3,7,24.2165
0,3,8,27.2037
0,3,9,30.2344
0,3,10,33.2968
0,3,11,36.383
0,4,0,9.2
0,4,1,9.74064
0,4,2,11.2071
0,4,3,13.2966
0,4,4,15.7632
0,4,5,18.4564
0,4,6,21.2904
0,4,7,24.2157
0,4,8,27.2029
0,4,9,30.2338
0,4,10,33.2962
0,4,11,36.3824
0,5,0,9.20217
0,5,1,9.74269
0,5,2,11.2089
0,5,3,13.2981
0,5,4,15.7645
0,5,5,18.4575
0,5,6,21.2913
0,5,7,24.2165
0,5,8,27.2037
0,5,9,30.2344
0,5,10,33.2968
0,5,11,36.383
0,6,0,9.20869
0,6,1,9.74885
0,6,2,11.2143
0,6,3,13.3026
0,6,4,15.7683
0,6,5,18.4608
0,6,6,21.2941
0,6,7,24.219
0,6,8,27.2059
0,6,9,30.2364
0,6,10,33.2986
0,6,11,36.3846
0,7,0,9.20869
0,7,1,9.74885
0,7,2,11.2143
0,7,3,13.3026
0,7,4,15.7683
0,7,5,18.4608
0,7,6,21.2941
0,7,7,24.219
0,7,8,27.2059
0,7,9,30.2364
0,7,10,33.2986
0,7,11,36.3846
0,8,0,9.20217
0,8,1,9.74269
0,8,2,11.2089
0,8,3,13.2981
0,8,4,15.7645
0,8,5,18.4575
0,8,6,21.2913
0,8,7,24.2165
0,8,8,27.2037
0,8,9,30.2344
0,8,10,33.2968
0,8,11,36.383
0,9,0,9.2
0,9,1,9.74064
0,9,2,11.2071
0,9,3,13.2966
0,9,4,15.7632
0,9,5,18.4564
0,9,6,21.2904
0,9,7,24.2157
0,9,8,27.2029
0,9,9,30.2338
0,9,10,33.2962
0,9,11,36.3824
0,10,0,9.20217
0,10,1,9.74269
0,10,2,11.2089
0,10,3,13.2981
0,10,4,15.7645
0,10,5,18.4575
0,10,6,21.2913
0,10,7,24.2165
0,10,8,27.2037
0,10,9,30.2344
0,10,10,33.2968
0,10,11,36.383
0,11,0,9.20869
0,11,1,9.74885
0,11,2,11.2143
0,11,3,13.3026
0,11,4,15.7683
