minbound,shape,unit
-37.8,36,4.2
-100.8,21,4.2
0,12,3.2

IX,IY,IZ,value
0,0,0,1
0,0,1,1
0,0,2,1
0,0,3,1
0,0,4,1
0,0,5,1
0,0,6,1
0,0,7,1
0,0,8,1
0,0,9,1
0,0,10,1
0,0,11,1
0,1,0,1
0,1,1,1
0,1,2,1
0,1,3,1
0,1,4,1
0,1,5,1
0,1,6,1
0,1,7,1
0,1,8,1
0,1,9,1
0,1,10,1
0,1,11,1
0,2,0,1
0,2,1,0.79887
0,2,2,0.792839
0,2,3,0.783159
0,2,4,0.770291
0,2,5,0.754737
0,2,6,0.736973
0,2,7,0.717415
0,2,8,0.696409
0,2,9,0.674236
0,2,10,0.651119
0,2,11,0.627232
0,3,0,1
0,3,1,0.762039
0,3,2,0.756919
0,3,3,0.748619
0,3,4,0.737439
0,3,5,0.723728
0,3,6,0.707843
0,3,7,0.690118
0,3,8,0.67085
0,3,9,0.650294
0,3,10,0.628664
0,3,11,0.606136
0,4,0,1
0,4,1,0.724998
0,4,2,0.720556
0,4,3,0.713307
0,4,4,0.703455
0,4,5,0.69125
0,4,6,0.676958
0,4,7,0.660843
0,4,8,0.643152
0,4,9,0.624108
0,4,10,0.603905
0,4,11,0.582712
0,5,0,1
0,5,1,0.687823
0,5,2,0.683903
0,5,3,0.677476
0,5,4,0.668688
0,5,5,0.65772
0,5,6,0.644775
0,5,7,0.63006
0,5,8,0.613776
0,5,9,0.596115
0,5,10,0.577248
0,5,11,0.557329
0,6,0,1
0,6,1,0.650556
0,6,2,0.64705
0,6,3,0.641282
0,6,4,0.633361
0,6,5,0.623421
0,6,6,0.611617
0,6,7,0.598114
0,6,8,0.583076
0,6,9,0.566664
0,6,10,0.549027
0,6,11,0.530304
0,7,0,1
0,7,1,1
0,7,2,1
0,7,3,1
0,7,4,1
0,7,5,1
0,7,6,1
0,7,7,1
0,7,8,1
0,7,9,1
0,7,10,1
0,7,11,1
0,8,0,1
0,8,1,1
0,8,2,1
0,8,3,1
0,8,4,1
0,8,5,1
0,8,6,1
0,8,7,1
0,8,8,1
0,8,9,1
0,8,10,1
0,8,11,1
0,9,0,1
0,9,1,1
0,9,2,1
0,9,3,1
0,9,4,1
0,9,5,1
0,9,6,1
0,9,7,1
0,9,8,1
0,9,9,1
0,9,10,1
0,9,11,1
0,10,0,1
0,10,1,1
0,10,2,1
0,10,3,1
0,10,4,1
0,10,5,1
0,10,6,1
0,10,7,1
0,10,8,1
0,10,9,1
0,10,10,1
0,10,11,1
0,11,0,1
0,11,1,1
0,11,2,1
0,11,3,1
0,11,4,1
0,11,5,1
0,11,6,1
0,11,7,1
0,11,8,1
0,11,9,1
0,11,10,1
0,11,11,1
0,12,0,1
0,12,1,1
0,12,2,1
0,12,3,1
0,12,4,1
0,12,5,1
0,12,6,1
0,12,7,1
0,12,8,1
0,12,9,1
0,12,10,1
0,12,11,1
0,13,0,1
0,13,1,1
0,13,2,1
0,13,3,1
0,13,4,1
0,13,5,1
0,13,6,1
0,13,7,1
0,13,8,1
0,13,9,1
0,13,10,1
0,13,11,1
0,14,0,1
0,14,1,1
0,14,2,1
0,14,3,1
0,14,4,1
0,14,5,1
0,14,6,1
0,14,7,1
0,14,8,1
0,14,9,1
0,14,10,1
0,14,11,1
0,15,0,1
0,15,1,1
0,15,2,1
0,15,3,1
0,15,4,1
0,15,5,1
0,15,6,1
0,15,7,1
0,15,8,1
0,15,9,1
0,15,10,1
0,15,11,1
0,16,0,1
0,16,1,1
0,16,2,1
0,16,3,1
0,16,4,1
0,16,5,1
0,16,6,1
