minbound,shape,unit
-37.8,36,4.2
-100.8,21,4.2
0,12,3.2

IX,IY,IZ,value
0,0,0,1
0,0,1,1
0,0,2,1
0,0,3,1
0,0,4,1
0,0,5,1
0,0,6,1
0,0,7,1
0,0,8,1
0,0,9,1
0,0,10,1
0,0,11,1
0,1,0,1
0,1,1,1
0,1,2,1
0,1,3,1
0,1,4,1
0,1,5,1
0,1,6,1
0,1,7,1
0,1,8,1
0,1,9,1
0,1,10,1
0,1,11,1
0,2,0,1
0,2,1,0.279623
0,2,2,0.277464
0,2,3,0.273879
0,2,4,0.26889
0,2,5,0.262524
0,2,6,0.254818
0,2,7,0.245813
0,2,8,0.235554
0,2,9,0.224091
0,2,10,0.211476
0,2,11,0.197765
0,3,0,1
0,3,1,0.304297
0,3,2,0.302061
0,3,3,0.29835
0,3,4,0.293188
0,3,5,0.286606
0,3,6,0.278643
0,3,7,0.269344
0,3,8,0.258759
0,3,9,0.246943
0,3,10,0.233952
0,3,11,0.219845
0,4,0,1
0,4,1,0.327213
0,4,2,0.324901
0,4,3,0.321066
0,4,4,0.315733
0,4,5,0.308936
0,4,6,0.300718
0,4,7,0.291129
0,4,8,0.280224
0,4,9,0.268061
0,4,10,0.254702
0,4,11,0.24021
0,5,0,1
0,5,1,0.348187
0,5,2,0.345802
0,5,3,0.341844
0,5,4,0.336344
0,5,5,0.329338
0,5,6,0.320874
0,5,7,0.311004
0,5,8,0.299789
0,5,9,0.287292
0,5,10,0.27358
0,5,11,0.258719
0,6,0,1
0,6,1,0.367026
0,6,2,0.36457
0,6,3,0.360496
0,6,4,0.354837
0,6,5,0.347632
0,6,6,0.338934
0,6,7,0.328799
0,6,8,0.317291
0,6,9,0.30448
0,6,10,0.290435
0,6,11,0.275228
0,7,0,1
0,7,1,1
0,7,2,1
0,7,3,1
0,7,4,1
0,7,5,1
0,7,6,1
0,7,7,1
0,7,8,1
0,7,9,1
0,7,10,1
0,7,11,1
0,8,0,1
0,8,1,1
0,8,2,1
0,8,3,1
0,8,4,1
0,8,5,1
0,8,6,1
0,8,7,1
0,8,8,1
0,8,9,1
0,8,10,1
0,8,11,1
0,9,0,1
0,9,1,1
0,9,2,1
0,9,3,1
0,9,4,1
0,9,5,1
0,9,6,1
0,9,7,1
0,9,8,1
0,9,9,1
0,9,10,1
0,9,11,1
0,10,0,1
0,10,1,1
0,10,2,1
0,10,3,1
0,10,4,1
0,10,5,1
0,10,6,1
0,10,7,1
0,10,8,1
0,10,9,1
0,10,10,1
0,10,11,1
0,11,0,1
0,11,1,1
0,11,2,1
0,11,3,1
0,11,4,1
0,11,5,1
0,11,6,1
0,11,7,1
0,11,8,1
0,11,9,1
0,11,10,1
0,11,11,1
0,12,0,1
0,12,1,1
0,12,2,1
0,12,3,1
0,12,4,1
0,12,5,1
0,12,6,1
0,12,7,1
0,12,8,1
0,12,9,1
0,12,10,1
0,12,11,1
0,13,0,1
0,13,1,1
0,13,2,1
0,13,3,1
0,13,4,1
0,13,5,1
0,13,6,1
0,13,7,1
0,13,8,1
0,13,9,1
0,13,10,1
0,13,11,1
0,14,0,1
0,14,1,1
0,14,2,1
0,14,3,1
0,14,4,1
0,14,5,1
0,14,6,1
0,14,7,1
0,14,8,1
0,14,9,1
0,14,10,1
0,14,11,1
0,15,0,1
0,15,1,1
0,15,2,1
0,15,3,1
0,15,4,1
0,15,5,1
0,15,6,1
0,15,7,1
0,15,8,1
0,15,9,1
0,15,10,1
0,15,11,1
0,16,0,1
0,16,1,1
0,16,2,1
0,16,3,1
0,16,4,1
0,16,5,1
0,16,6,1
