minbound,shape,unit
-37.8,36,4.2
-100.8,21,4.2
0,12,3.2

IX,IY,IZ,value
0,0,0,1
0,0,1,1
0,0,2,1
0,0,3,1
0,0,4,1
0,0,5,1
0,0,6,1
0,0,7,1
0,0,8,1
0,0,9,1
0,0,10,1
0,0,11,1
0,1,0,1
0,1,1,1
0,1,2,1
0,1,3,1
0,1,4,1
0,1,5,1
0,1,6,1
0,1,7,1
0,1,8,1
0,1,9,1
0,1,10,1
0,1,11,1
0,2,0,1
0,2,1,0.870093
0,2,2,0.858972
0,2,3,0.842168
0,2,4,0.821277
0,2,5,0.79756
0,2,6,0.771898
0,2,7,0.744877
0,2,8,0.716885
0,2,9,0.688184
0,2,10,0.658953
0,2,11,0.629317
0,3,0,1
0,3,1,0.830281
0,3,2,0.821624
0,3,3,0.808063
0,3,4,0.790546
0,3,5,0.769977
0,3,6,0.747098
0,3,7,0.722481
0,3,8,0.696548
0,3,9,0.669609
0,3,10,0.641891
0,3,11,0.613561
0,4,0,1
0,4,1,0.789776
0,4,2,0.782728
0,4,3,0.771463
0,4,4,0.756566
0,4,5,0.738657
0,4,6,0.718311
0,4,7,0.696016
0,4,8,0.67217
0,4,9,0.647087
0,4,10,0.621012
0,4,11,0.594138
0,5,0,1
0,5,1,0.748914
0,5,2,0.742984
0,5,3,0.733393
0,5,4,0.720518
0,5,5,0.704788
0,5,6,0.686633
0,5,7,0.666449
0,5,8,0.644581
0,5,9,0.621321
0,5,10,0.59691
0,5,11,0.571544
0,6,0,1
0,6,1,0.707845
0,6,2,0.702733
0,6,3,0.694402
0,6,4,0.683108
0,6,5,0.669152
0,6,6,0.652856
0,6,7,0.634532
0,6,8,0.614471
0,6,9,0.592928
0,6,10,0.570126
0,6,11,0.546255
0,7,0,1
0,7,1,1
0,7,2,1
0,7,3,1
0,7,4,1
0,7,5,1
0,7,6,1
0,7,7,1
0,7,8,1
0,7,9,1
0,7,10,1
0,7,11,1
0,8,0,1
0,8,1,1
0,8,2,1
0,8,3,1
0,8,4,1
0,8,5,1
0,8,6,1
0,8,7,1
0,8,8,1
0,8,9,1
0,8,10,1
0,8,11,1
0,9,0,1
0,9,1,1
0,9,2,1
0,9,3,1
0,9,4,1
0,9,5,1
0,9,6,1
0,9,7,1
0,9,8,1
0,9,9,1
0,9,10,1
0,9,11,1
0,10,0,1
0,10,1,1
0,10,2,1
0,10,3,1
0,10,4,1
0,10,5,1
0,10,6,1
0,10,7,1
0,10,8,1
0,10,9,1
0,10,10,1
0,10,11,1
0,11,0,1
0,11,1,1
0,11,2,1
0,11,3,1
0,11,4,1
0,11,5,1
0,11,6,1
0,11,7,1
0,11,8,1
0,11,9,1
0,11,10,1
0,11,11,1
0,12,0,1
0,12,1,1
0,12,2,1
0,12,3,1
0,12,4,1
0,12,5,1
0,12,6,1
0,12,7,1
0,12,8,1
0,12,9,1
0,12,10,1
0,12,11,1
0,13,0,1
0,13,1,1
0,13,2,1
0,13,3,1
0,13,4,1
0,13,5,1
0,13,6,1
0,13,7,1
0,13,8,1
0,13,9,1
0,13,10,1
0,13,11,1
0,14,0,1
0,14,1,1
0,14,2,1
0,14,3,1
0,14,4,1
0,14,5,1
0,14,6,1
0,14,7,1
0,14,8,1
0,14,9,1
0,14,10,1
0,14,11,1
0,15,0,1
0,15,1,1
0,15,2,1
0,15,3,1
0,15,4,1
0,15,5,1
0,15,6,1
0,15,7,1
0,15,8,1
0,15,9,1
0,15,10,1
0,15,11,1
0,16,0,1
0,16,1,1
0,16,2,1
0,16,3,1
0,16,4,1
0,16,5,1
0,16,6,1
