minbound,shape,unit
-37.8,36,4.2
-100.8,21,4.2
0,12,3.2

IX,IY,IZ,value
0,0,0,0
0,0,1,0
0,0,2,0
0,0,3,0
0,0,4,0
0,0,5,0
0,0,6,0
0,0,7,0
0,0,8,0
0,0,9,0
0,0,10,0
0,0,11,0
0,1,0,0
0,1,1,0
0,1,2,0
0,1,3,0
0,1,4,0
0,1,5,0
0,1,6,0
0,1,7,0
0,1,8,0
0,1,9,0
0,1,10,0
0,1,11,0
0,2,0,0
0,2,1,0.0434839
0,2,2,0.0273077
0,2,3,0.0397581
0,2,4,0.0285881
0,2,5,0.0363081
0,2,6,0.0306034
0,2,7,0.03322
0,2,8,0.03322
0,2,9,0.0306034
0,2,10,0.0363081
0,2,11,0.0285881
0,3,0,0
0,3,1,0.0819204
0,3,2,0.0746043
0,3,3,0.080005
0,3,4,0.0750825
0,3,5,0.0783478
0,3,6,0.0758727
0,3,7,0.0769653
0,3,8,0.0769653
0,3,9,0.0758727
0,3,10,0.0783478
0,3,11,0.0750825
0,4,0,0
0,4,1,0.129582
0,4,2,0.125086
0,4,3,0.12838
0,4,4,0.125371
0,4,5,0.127354
0,4,6,0.125846
0,4,7,0.126508
0,4,8,0.126508
0,4,9,0.125846
0,4,10,0.127354
0,4,11,0.125371
0,5,0,0
0,5,1,0.179256
0,5,2,0.176032
0,5,3,0.178388
0,5,4,0.176236
0,5,5,0.177651
0,5,6,0.176574
0,5,7,0.177046
0,5,8,0.177046
0,5,9,0.176574
0,5,10,0.177651
0,5,11,0.176236
0,6,0,0
0,6,1,0.229639
0,6,2,0.227132
0,6,3,0.228963
0,6,4,0.22729
0,6,5,0.228389
0,6,6,0.227552
0,6,7,0.227918
0,6,8,0.227918
0,6,9,0.227552
0,6,10,0.228389
0,6,11,0.22729
0,7,0,0
0,7,1,0
0,7,2,0
0,7,3,0
0,7,4,0
0,7,5,0
0,7,6,0
0,7,7,0
0,7,8,0
0,7,9,0
0,7,10,0
0,7,11,0
0,8,0,0
0,8,1,0
0,8,2,0
0,8,3,0
0,8,4,0
0,8,5,0
0,8,6,0
0,8,7,0
0,8,8,0
0,8,9,0
0,8,10,0
0,8,11,0
0,9,0,0
0,9,1,0
0,9,2,0
0,9,3,0
0,9,4,0
0,9,5,0
0,9,6,0
0,9,7,0
0,9,8,0
0,9,9,0
0,9,10,0
0,9,11,0
0,10,0,0
0,10,1,0
0,10,2,0
0,10,3,0
0,10,4,0
0,10,5,0
0,10,6,0
0,10,7,0
0,10,8,0
0,10,9,0
0,10,10,0
0,10,11,0
0,11,0,0
0,11,1,0
0,11,2,0
0,11,3,0
0,11,4,0
0,11,5,0
0,11,6,0
0,11,7,0
0,11,8,0
0,11,9,0
0,11,10,0
0,11,11,0
0,12,0,0
0,12,1,0
0,12,2,0
0,12,3,0
0,12,4,0
0,12,5,0
0,12,6,0
0,12,7,0
0,12,8,0
0,12,9,0
0,12,10,0
0,12,11,0
0,13,0,0
0,13,1,0
0,13,2,0
0,13,3,0
0,13,4,0
0,13,5,0
0,13,6,0
0,13,7,0
0,13,8,0
0,13,9,0
0,13,10,0
0,13,11,0
0,14,0,0
0,14,1,0
0,14,2,0
0,14,3,0
0,14,4,0
0,14,5,0
0,14,6,0
0,14,7,0
0,14,8,0
0,14,9,0
0,14,10,0
0,14,11,0
0,15,0,0
0,15,1,0
0,15,2,0
0,15,3,0
0,15,4,0
0,15,5,0
0,15,6,0
0,15,7,0
0,15,8,0
0,15,9,0
0,15,10,0
0,15,11,0
0,16,0,0
0,16,1,0
0,16,2,0
0,16,3,0
0,16,4,0
0,16,5,0
0,16,6,0
0,16,7,0
0,16,8,0
0,16,9,0
0,16,10,0
0,16,11,0
0,17,0,0
0,17,1,0
0,17,2,0
0,17,3,0
0,17,4,0
0,17,5,0
0,17,6,0
0,17,7,0
0,17,8,0
0,17,9,0
0,17,10,0
0,17,11,0
0,18,0,0
0,18,1,0
0,18,2,0
0,18,3,0
0,18,4,0
0,18,5,0
0,18,6,0
0,18,7,0
0,18,8,0
0,18,9,0
0,18,10,0
0,18,11,0
0,19,0,0
0,19,1,0
0,19,2,0
0,19,3,0
0,19,4,0
0,19,5,0
0,19,6,0
0,19,7,0
0,19,8,0
0,19,9,0
0,19,10,0
0,19,11,0
0,20,0,0
0,20,1,0
0,20,2,0
0,20,3,0
0,20,4,0
0,20,5,0
0,20,6,0
0,20,7,0
0,20,8,0
0,20,9,0
0,20,10,0
0,20,11,0
1,0,0,0
1,0,1,0
1,0,2,0
1,0,3,0
1,0,4,0
1,0,5,0
1,0,6,0
1,0,7,0
1,0,8,0
1,0,9,0
1,0,10,0
1,0,11,0
1,1,0,0
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,1,7,0
1,1,8,0
1,1,9,0
1,1,10,0
1,1,11,0
1,2,0,0
1,2,1,0.0419511
1,2,2,0.0247944
1,2,3,0.0380757
1,2,4,0.0261979
1,2,5,0.0344576
1,2,6,0.0283834
1,2,7,0.0311868
1,2,8,0.0311868
1,2,9,0.0283834
1,2,10,0.0344576
1,2,11,0.0261979
1,3,0,0
1,3,1,0.0825213
1,3,2,0.0752637
1,3,3,0.0806202
1,3,4,0.0757376
1,3,5,0.0789759
1,3,6,0.0765211
1,3,7,0.0776046
1,3,8,0.0776046
1,3,9,0.0765211
1,3,10,0.0789759
1,3,11,0.0757376
1,4,0,0
1,4,1,0.130844
1,4,2,0.126392
1,4,3,0.129653
1,4,4,0.126675
1,4,5,0.128637
1,4,6,0.127145
1,4,7,0.1278
1,4,8,0.1278
1,4,9,0.127145
1,4,10,0.128637
1,4,11,0.126675
1,5,0,0
1,5,1,0.180806
1,5,2,0.177611
1,5,3,0.179947
1,5,4,0.177813
1,5,5,0.179216
1,5,6,0.178148
1,5,7,0.178616
1,5,8,0.178616
1,5,9,0.178148
1,5,10,0.179216
1,5,11,0.177813
1,6,0,0
1,6,1,0.231349
1,6,2,0.22886
1,6,3,0.230677
1,6,4,0.229017
1,6,5,0.230108
1,6,6,0.229277
1,6,7,0.229641
1,6,8,0.229641
1,6,9,0.229277
1,6,10,0.230108
1,6,11,0.229017
1,7,0,0
1,7,1,0.282159
1,7,2,0.280123
1,7,3,0.281609
1,7,4,0.280251
1,7,5,0.281143
1,7,6,0.280463
1,7,7,0.280761
1,7,8,0.280761
1,7,9,0.280463
1,7,10,0.281143
1,7,11,0.280251
1,8,0,0
1,8,1,0.333116
1,8,2,0.331393
1,8,3,0.33265
1,8,4,0.331501
1,8,5,0.332255
1,8,6,0.33168
1,8,7,0.331932
1,8,8,0.331932
1,8,9,0.33168
1,8,10,0.332255
1,8,11,0.331501
1,9,0,0
1,9,1,0.38416
1,9,2,0.382667
1,9,3,0.383756
1,9,4,0.38276
1,9,5,0.383414
1,9,6,0.382916
1,9,7,0.383134
1,9,8,0.383134
1,9,9,0.382916
1,9,10,0.383414
1,9,11,0.38276
1,10,0,0
1,10,1,0.435261
1,10,2,0.433944
1,10,3,0.434905
1,10,4,0.434026
1,10,5,0.434603
1,10,6,0.434163
1,10,7,0.434356
1,10,8,0.434356
1,10,9,0.434163
1,10,10,0.434603
1,10,11,0.434026
1,11,0,0
1,11,1,0.486401
1,11,2,0.485222
1,11,3,0.486082
1,11,4,0.485296
1,11,5,0.485812
1,11,6,0.485419
1,11,7,0.485591
1,11,8,0.485591
1,11,9,0.485419
1,11,10,0.485812
1,11,11,0.485296
1,12,0,0
1,12,1,0.537569
1,12,2,0.536502
1,12,3,0.53728
1,12,4,0.536569
1,12,5,0.537036
1,12,6,0.53668
1,12,7,0.536836
1,12,8,0.536836
1,12,9,0.53668
1,12,10,0.537036
1,12,11,0.536569
1,13,0,0
1,13,1,0.588757
1,13,2,0.587784
1,13,3,0.588493
1,13,4,0.587844
1,13,5,0.58827
1,13,6,0.587946
1,13,7,0.588088
1,13,8,0.588088
1,13,9,0.587946
1,13,10,0.58827
1,13,11,0.587844
1,14,0,0
1,14,1,0.639961
1,14,2,0.639065
1,14,3,0.639718
1,14,4,0.639121
1,14,5,0.639513
1,14,6,0.639215
1,14,7,0.639345
1,14,8,0.639345
1,14,9,0.639215
1,14,10,0.639513
1,14,11,0.639121
1,15,0,0
1,15,1,0.691177
1,15,2,0.690348
1,15,3,0.690952
1,15,4,0.6904
1,15,5,0.690762
1,15,6,0.690486
1,15,7,0.690607
1,15,8,0.690607
1,15,9,0.690486
1,15,10,0.690762
1,15,11,0.6904
1,16,0,0
1,16,1,0.742402
1,16,2,0.741631
1,16,3,0.742194
1,16,4,0.741679
1,16,5,0.742017
1,16,6,0.741759
1,16,7,0.741872
1,16,8,0.741872
1,16,9,0.741759
1,16,10,0.742017
1,16,11,0.741679
1,17,0,0
1,17,1,0.793636
1,17,2,0.792914
1,17,3,0.79344
1,17,4,0.792959
1,17,5,0.793275
1,17,6,0.793034
1,17,7,0.79314
1,17,8,0.79314
1,17,9,0.793034
1,17,10,0.793275
1,17,11,0.792959
1,18,0,0
1,18,1,0.844876
1,18,2,0.844198
1,18,3,0.844692
1,18,4,0.84424
1,18,5,0.844537
1,18,6,0.844311
1,18,7,0.84441
1,18,8,0.84441
1,18,9,0.844311
1,18,10,0.844537
1,18,11,0.84424
1,19,0,0
1,19,1,0.896121
1,19,2,0.895482
1,19,3,0.895948
1,19,4,0.895522
1,19,5,0.895801
1,19,6,0.895588
1,19,7,0.895681
1,19,8,0.895681
1,19,9,0.895588
1,19,10,0.895801
1,19,11,0.895522
1,20,0,0
1,20,1,0.94737
1,20,2,0.946766
1,20,3,0.947207
1,20,4,0.946803
1,20,5,0.947068
1,20,6,0.946866
1,20,7,0.946955
1,20,8,0.946955
1,20,9,0.946866
1,20,10,0.947068
1,20,11,0.946803
2,0,0,0
2,0,1,0
2,0,2,0
2,0,3,0
2,0,4,0
2,0,5,0
2,0,6,0
2,0,7,0
2,0,8,0
2,0,9,0
2,0,10,0
2,0,11,0
2,1,0,0
2,1,1,0
2,1,2,0
2,1,3,0
2,1,4,0
2,1,5,0
2,1,6,0
2,1,7,0
2,1,8,0
2,1,9,0
2,1,10,0
2,1,11,0
2,2,0,0
2,2,1,0.0512135
2,2,2,0.0384407
2,2,3,0.0480904
2,2,4,0.0393606
2,2,5,0.0452798
2,2,6,0.0408478
2,2,7,0.0428432
2,2,8,0.0428432
2,2,9,0.0408478
2,2,10,0.0452798
2,2,11,0.0393606
2,3,0,0
2,3,1,0.0888957
2,3,2,0.0822028
2,3,3,0.0871338
2,3,4,0.082637
2,3,5,0.0856147
2,3,6,0.0833556
2,3,7,0.0843514
2,3,8,0.0843514
2,3,9,0.0833556
2,3,10,0.0856147
2,3,11,0.082637
2,4,0,0
2,4,1,0.135803
2,4,2,0.13152
2,4,3,0.134657
2,4,4,0.131791
2,4,5,0.133679
2,4,6,0.132243
2,4,7,0.132873
2,4,8,0.132873
2,4,9,0.132243
2,4,10,0.133679
2,4,11,0.131791
2,5,0,0
2,5,1,0.185049
2,5,2,0.181928
2,5,3,0.184209
2,5,4,0.182125
2,5,5,0.183495
2,5,6,0.182452
2,5,7,0.182909
2,5,8,0.182909
2,5,9,0.182452
2,5,10,0.183495
2,5,11,0.182125
2,6,0,0
2,6,1,0.235168
2,6,2,0.232721
2,6,3,0.234508
2,6,4,0.232875
2,6,5,0.233948
2,6,6,0.233131
2,6,7,0.233489
2,6,8,0.233489
2,6,9,0.233131
2,6,10,0.233948
2,6,11,0.232875
2,7,0,0
2,7,1,0.285702
2,7,2,0.283691
2,7,3,0.285159
2,7,4,0.283817
2,7,5,0.284698
2,7,6,0.284027
2,7,7,0.284321
2,7,8,0.284321
2,7,9,0.284027
2,7,10,0.284698
2,7,11,0.283817
2,8,0,0
2,8,1,0.336147
2,8,2,0.334439
2,8,3,0.335685
2,8,4,0.334546
2,8,5,0.335294
2,8,6,0.334724
2,8,7,0.334974
2,8,8,0.334974
2,8,9,0.334724
2,8,10,0.335294
2,8,11,0.334546
2,9,0,0
2,9,1,0.386791
2,9,2,0.385308
2,9,3,0.38639
2,9,4,0.385401
2,9,5,0.38605
2,9,6,0.385555
2,9,7,0.385772
2,9,8,0.385772
2,9,9,0.385555
2,9,10,0.38605
2,9,11,0.385401
2,10,0,0
2,10,1,0.437585
2,10,2,0.436274
2,10,3,0.43723
2,10,4,0.436356
2,10,5,0.43693
2,10,6,0.436493
2,10,7,0.436684
2,10,8,0.436684
2,10,9,0.436493
2,10,10,0.43693
2,10,11,0.436356
2,11,0,0
2,11,1,0.488481
2,11,2,0.487308
2,11,3,0.488164
2,11,4,0.487381
2,11,5,0.487895
2,11,6,0.487504
2,11,7,0.487675
2,11,8,0.487675
2,11,9,0.487504
2,11,10,0.487895
2,11,11,0.487381
2,12,0,0
2,12,1,0.539452
2,12,2,0.538389
2,12,3,0.539164
2,12,4,0.538456
2,12,5,0.538921
2,12,6,0.538567
2,12,7,0.538722
2,12,8,0.538722
2,12,9,0.538567
2,12,10,0.538921
2,12,11,0.538456
2,13,0,0
2,13,1,0.590477
2,13,2,0.589506
2,13,3,0.590214
2,13,4,0.589567
2,13,5,0.589992
2,13,6,0.589668
2,13,7,0.58981
2,13,8,0.58981
2,13,9,0.589668
2,13,10,0.589992
2,13,11,0.589567
2,14,0,0
2,14,1,0.641543
2,14,2,0.64065
2,14,3,0.641302
2,14,4,0.640706
2,14,5,0.641097
2,14,6,0.640799
2,14,7,0.64093
2,14,8,0.64093
2,14,9,0.640799
2,14,10,0.641097
2,14,11,0.640706
2,15,0,0
2,15,1,0.692642
2,15,2,0.691815
2,15,3,0.692419
2,15,4,0.691867
2,15,5,0.692229
2,15,6,0.691953
2,15,7,0.692074
2,15,8,0.692074
2,15,9,0.691953
2,15,10,0.692229
2,15,11,0.691867
2,16,0,0
2,16,1,0.743767
2,16,2,0.742997
2,16,3,0.743559
2,16,4,0.743045
2,16,5,0.743382
2,16,6,0.743125
2,16,7,0.743238
2,16,8,0.743238
2,16,9,0.743125
2,16,10,0.743382
2,16,11,0.743045
2,17,0,0
2,17,1,0.794913
2,17,2,0.794192
2,17,3,0.794718
2,17,4,0.794237
2,17,5,0.794552
2,17,6,0.794312
2,17,7,0.794417
2,17,8,0.794417
2,17,9,0.794312
2,17,10,0.794552
2,17,11,0.794237
2,18,0,0
2,18,1,0.846075
2,18,2,0.845398
2,18,3,0.845892
2,18,4,0.845441
2,18,5,0.845737
2,18,6,0.845511
2,18,7,0.84561
2,18,8,0.84561
2,18,9,0.845511
2,18,10,0.845737
2,18,11,0.845441
2,19,0,0
2,19,1,0.897252
2,19,2,0.896613
2,19,3,0.897079
2,19,4,0.896653
2,19,5,0.896933
2,19,6,0.89672
2,19,7,0.896813
2,19,8,0.896813
2,19,9,0.89672
2,19,10,0.896933
2,19,11,0.896653
2,20,0,0
2,20,1,0.94844
2,20,2,0.947836
2,20,3,0.948277
2,20,4,0.947874
2,20,5,0.948138
2,20,6,0.947937
2,20,7,0.948025
2,20,8,0.948025
2,20,9,0.947937
2,20,10,0.948138
2,20,11,0.947874
3,0,0,0
3,0,1,0
3,0,2,0
3,0,3,0
3,0,4,0
3,0,5,0
3,0,6,0
3,0,7,0
3,0,8,0
