minbound,shape,unit
-37.8,36,4.2
-100.8,21,4.2
0,12,3.2

IX,IY,IZ,value
0,0,0,1
0,0,1,1
0,0,2,1
0,0,3,1
0,0,4,1
0,0,5,1
0,0,6,1
0,0,7,1
0,0,8,1
0,0,9,1
0,0,10,1
0,0,11,1
0,1,0,1
0,1,1,1
0,1,2,1
0,1,3,1
0,1,4,1
0,1,5,1
0,1,6,1
0,1,7,1
0,1,8,1
0,1,9,1
0,1,10,1
0,1,11,1
0,2,0,1
0,2,1,0.839944
0,2,2,0.830677
0,2,3,0.816266
0,2,4,0.79781
0,2,5,0.776307
0,2,6,0.75255
0,2,7,0.727127
0,2,8,0.700462
0,2,9,0.672859
0,2,10,0.644537
0,2,11,0.615653
0,3,0,1
0,3,1,0.806513
0,3,2,0.798779
0,3,3,0.786511
0,3,4,0.770435
0,3,5,0.751287
0,3,6,0.729721
0,3,7,0.706267
0,3,8,0.681343
0,3,9,0.655268
0,3,10,0.628283
0,3,11,0.600573
0,4,0,1
0,4,1,0.7703
0,4,2,0.763749
0,4,3,0.753216
0,4,4,0.739184
0,4,5,0.722182
0,4,6,0.702719
0,4,7,0.681246
0,4,8,0.658142
0,4,9,0.633714
0,4,10,0.608211
0,4,11,0.581829
0,5,0,1
0,5,1,0.732432
0,5,2,0.726787
0,5,3,0.717629
0,5,4,0.705287
0,5,5,0.690139
0,5,6,0.672576
0,5,7,0.652963
0,5,8,0.631628
0,5,9,0.608853
0,5,10,0.584874
0,5,11,0.559889
0,6,0,1
0,6,1,0.693521
0,6,2,0.688581
0,6,3,0.680517
0,6,4,0.669557
0,6,5,0.655979
0,6,6,0.640079
0,6,7,0.622149
0,6,8,0.602465
0,6,9,0.581273
0,6,10,0.558791
0,6,11,0.535205
0,7,0,1
0,7,1,1
0,7,2,1
0,7,3,1
0,7,4,1
0,7,5,1
0,7,6,1
0,7,7,1
0,7,8,1
0,7,9,1
0,7,10,1
0,7,11,1
0,8,0,1
0,8,1,1
0,8,2,1
0,8,3,1
0,8,4,1
0,8,5,1
0,8,6,1
0,8,7,1
0,8,8,1
0,8,9,1
0,8,10,1
0,8,11,1
0,9,0,1
0,9,1,1
0,9,2,1
0,9,3,1
0,9,4,1
0,9,5,1
0,9,6,1
0,9,7,1
0,9,8,1
0,9,9,1
0,9,10,1
0,9,11,1
0,10,0,1
0,10,1,1
0,10,2,1
0,10,3,1
0,10,4,1
0,10,5,1
0,10,6,1
0,10,7,1
0,10,8,1
0,10,9,1
0,10,10,1
0,10,11,1
0,11,0,1
0,11,1,1
0,11,2,1
0,11,3,1
0,11,4,1
0,11,5,1
0,11,6,1
0,11,7,1
0,11,8,1
0,11,9,1
0,11,10,1
0,11,11,1
0,12,0,1
0,12,1,1
0,12,2,1
0,12,3,1
0,12,4,1
0,12,5,1
0,12,6,1
0,12,7,1
0,12,8,1
0,12,9,1
0,12,10,1
0,12,11,1
0,13,0,1
0,13,1,1
0,13,2,1
0,13,3,1
0,13,4,1
0,13,5,1
0,13,6,1
0,13,7,1
0,13,8,1
0,13,9,1
0,13,10,1
0,13,11,1
0,14,0,1
0,14,1,1
0,14,2,1
0,14,3,1
0,14,4,1
0,14,5,1
0,14,6,1
0,14,7,1
0,14,8,1
0,14,9,1
0,14,10,1
0,14,11,1
0,15,0,1
0,15,1,1
0,15,2,1
0,15,3,1
0,15,4,1
0,15,5,1
0,15,6,1
0,15,7,1
0,15,8,1
0,15,9,1
0,15,10,1
0,15,11,1
0,16,0,1
0,16,1,1
0,16,2,1
0,16,3,1
0,16,4,1
0,16,5,1
0,16,6,1
