minbound,shape,unit
-37.8,36,4.2
-100.8,21,4.2
0,12,3.2

IX,IY,IZ,value
0,0,0,1
0,0,1,1
0,0,2,1
0,0,3,1
0,0,4,1
0,0,5,1
0,0,6,1
0,0,7,1
0,0,8,1
0,0,9,1
0,0,10,1
0,0,11,1
0,1,0,1
0,1,1,1
0,1,2,1
0,1,3,1
0,1,4,1
0,1,5,1
0,1,6,1
0,1,7,1
0,1,8,1
0,1,9,1
0,1,10,1
0,1,11,1
0,2,0,1
0,2,1,0.915075
0,2,2,0.896438
0,2,3,0.871238
0,2,4,0.842596
0,2,5,0.812079
0,2,6,0.780468
0,2,7,0.748174
0,2,8,0.71543
0,2,9,0.682375
0,2,10,0.649097
0,2,11,0.615653
0,3,0,1
0,3,1,0.875022
0,3,2,0.861681
0,3,3,0.841928
0,3,4,0.817837
0,3,5,0.790903
0,3,6,0.762089
0,3,7,0.732001
0,3,8,0.701023
0,3,9,0.669405
0,3,10,0.637315
0,3,11,0.604868
0,4,0,1
0,4,1,0.832486
0,4,2,0.82231
0,4,3,0.806536
0,4,4,0.786401
0,4,5,0.763013
0,4,6,0.73724
0,4,7,0.709716
0,4,8,0.680894
0,4,9,0.651095
0,4,10,0.620551
0,4,11,0.589426
0,5,0,1
0,5,1,0.788963
0,5,2,0.780799
0,5,3,0.767828
0,5,4,0.750801
0,5,5,0.730485
0,5,6,0.707564
0,5,7,0.682603
0,5,8,0.656046
0,5,9,0.628234
0,5,10,0.599429
0,5,11,0.569829
0,6,0,1
0,6,1,0.744958
0,6,2,0.738162
0,6,3,0.727211
0,6,4,0.71258
0,6,5,0.694798
0,6,6,0.67438
0,6,7,0.65179
0,6,8,0.627422
0,6,9,0.601604
0,6,10,0.574598
0,6,11,0.546617
0,7,0,1
0,7,1,1
0,7,2,1
0,7,3,1
0,7,4,1
0,7,5,1
0,7,6,1
0,7,7,1
0,7,8,1
0,7,9,1
0,7,10,1
0,7,11,1
0,8,0,1
0,8,1,1
0,8,2,1
0,8,3,1
0,8,4,1
0,8,5,1
0,8,6,1
0,8,7,1
0,8,8,1
0,8,9,1
0,8,10,1
0,8,11,1
0,9,0,1
0,9,1,1
0,9,2,1
0,9,3,1
0,9,4,1
0,9,5,1
0,9,6,1
0,9,7,1
0,9,8,1
0,9,9,1
0,9,10,1
0,9,11,1
0,10,0,1
0,10,1,1
0,10,2,1
0,10,3,1
0,10,4,1
0,10,5,1
0,10,6,1
0,10,7,1
0,10,8,1
0,10,9,1
0,10,10,1
0,10,11,1
0,11,0,1
0,11,1,1
0,11,2,1
0,11,3,1
0,11,4,1
0,11,5,1
0,11,6,1
0,11,7,1
0,11,8,1
0,11,9,1
0,11,10,1
0,11,11,1
0,12,0,1
0,12,1,1
0,12,2,1
0,12,3,1
0,12,4,1
0,12,5,1
0,12,6,1
0,12,7,1
0,12,8,1
0,12,9,1
0,12,10,1
0,12,11,1
0,13,0,1
0,13,1,1
0,13,2,1
0,13,3,1
0,13,4,1
0,13,5,1
0,13,6,1
0,13,7,1
0,13,8,1
0,13,9,1
0,13,10,1
0,13,11,1
0,14,0,1
0,14,1,1
0,14,2,1
0,14,3,1
0,14,4,1
0,14,5,1
0,14,6,1
0,14,7,1
0,14,8,1
0,14,9,1
0,14,10,1
0,14,11,1
0,15,0,1
0,15,1,1
0,15,2,1
0,15,3,1
0,15,4,1
0,15,5,1
0,15,6,1
0,15,7,1
0,15,8,1
0,15,9,1
0,15,10,1
0,15,11,1
0,16,0,1
0,16,1,1
0,16,2,1
0,16,3,1
0,16,4,1
0,16,5,1
0,16,6,1
