minbound,shape,unit
-37.8,36,4.2
-100.8,21,4.2
0,12,3.2

IX,IY,IZ,value
0,0,0,1
0,0,1,1
0,0,2,1
0,0,3,1
0,0,4,1
0,0,5,1
0,0,6,1
0,0,7,1
0,0,8,1
0,0,9,1
0,0,10,1
0,0,11,1
0,1,0,1
0,1,1,1
0,1,2,1
0,1,3,1
0,1,4,1
0,1,5,1
0,1,6,1
0,1,7,1
0,1,8,1
0,1,9,1
0,1,10,1
0,1,11,1
0,2,0,1
0,2,1,0.963099
0,2,2,0.948738
0,2,3,0.931168
0,2,4,0.912296
0,2,5,0.892807
0,2,6,0.872986
0,2,7,0.852966
0,2,8,0.832819
0,2,9,0.812586
0,2,10,0.792293
0,2,11,0.771954
0,3,0,1
0,3,1,0.964489
0,3,2,0.949729
0,3,3,0.931902
0,3,4,0.912871
0,3,5,0.893277
0,3,6,0.873382
0,3,7,0.853309
0,3,8,0.83312
0,3,9,0.812855
0,3,10,0.792535
0,3,11,0.772175
0,4,0,1
0,4,1,0.96525
0,4,2,0.950264
0,4,3,0.932297
0,4,4,0.913179
0,4,5,0.893528
0,4,6,0.873594
0,4,7,0.853491
0,4,8,0.833281
0,4,9,0.812998
0,4,10,0.792664
0,4,11,0.772292
0,5,0,1
0,5,1,0.967193
0,5,2,0.951602
0,5,3,0.933273
0,5,4,0.913938
0,5,5,0.894147
0,5,6,0.874114
0,5,7,0.85394
0,5,8,0.833675
0,5,9,0.813349
0,5,10,0.792981
0,5,11,0.772581
0,6,0,1
0,6,1,0.968394
0,6,2,0.952408
0,6,3,0.933855
0,6,4,0.914388
0,6,5,0.894513
0,6,6,0.874422
0,6,7,0.854205
0,6,8,0.833908
0,6,9,0.813557
0,6,10,0.793168
0,6,11,0.772751
0,7,0,1
0,7,1,1
0,7,2,1
0,7,3,1
0,7,4,1
0,7,5,1
0,7,6,1
0,7,7,1
0,7,8,1
0,7,9,1
0,7,10,1
0,7,11,1
0,8,0,1
0,8,1,1
0,8,2,1
0,8,3,1
0,8,4,1
0,8,5,1
0,8,6,1
0,8,7,1
0,8,8,1
0,8,9,1
0,8,10,1
0,8,11,1
0,9,0,1
0,9,1,1
0,9,2,1
0,9,3,1
0,9,4,1
0,9,5,1
0,9,6,1
0,9,7,1
0,9,8,1
0,9,9,1
0,9,10,1
0,9,11,1
0,10,0,1
0,10,1,1
0,10,2,1
0,10,3,1
0,10,4,1
0,10,5,1
0,10,6,1
0,10,7,1
0,10,8,1
0,10,9,1
0,10,10,1
0,10,11,1
0,11,0,1
0,11,1,1
0,11,2,1
0,11,3,1
0,11,4,1
0,11,5,1
0,11,6,1
0,11,7,1
0,11,8,1
0,11,9,1
0,11,10,1
0,11,11,1
0,12,0,1
0,12,1,1
0,12,2,1
0,12,3,1
0,12,4,1
0,12,5,1
0,12,6,1
0,12,7,1
0,12,8,1
0,12,9,1
0,12,10,1
0,12,11,1
0,13,0,1
0,13,1,1
0,13,2,1
0,13,3,1
0,13,4,1
0,13,5,1
0,13,6,1
0,13,7,1
0,13,8,1
0,13,9,1
0,13,10,1
0,13,11,1
0,14,0,1
0,14,1,1
0,14,2,1
0,14,3,1
0,14,4,1
0,14,5,1
0,14,6,1
0,14,7,1
0,14,8,1
0,14,9,1
0,14,10,1
0,14,11,1
0,15,0,1
0,15,1,1
0,15,2,1
0,15,3,1
0,15,4,1
0,15,5,1
0,15,6,1
0,15,7,1
0,15,8,1
0,15,9,1
0,15,10,1
0,15,11,1
0,16,0,1
0,16,1,1
0,16,2,1
0,16,3,1
0,16,4,1
0,16,5,1
0,16,6,1
