minbound,shape,unit
-40,31,5
-100,18,5
0,8,5

IX,IY,IZ,value
0,0,0,0
0,0,1,0
0,0,2,0
0,0,3,0
0,0,4,0
0,0,5,0
0,0,6,0
0,0,7,0
0,1,0,0
0,1,1,0
0,1,2,0
0,1,3,0
0,1,4,0
0,1,5,0
0,1,6,0
0,1,7,0
0,2,0,0
0,2,1,0
0,2,2,0
0,2,3,0
0,2,4,0
0,2,5,0
0,2,6,0
0,2,7,0
0,3,0,0
0,3,1,0
0,3,2,0
0,3,3,0
0,3,4,0
0,3,5,0
0,3,6,0
0,3,7,0
0,4,0,0
0,4,1,0
0,4,2,0
0,4,3,0
0,4,4,0
0,4,5,0
0,4,6,0
0,4,7,0
0,5,0,0
0,5,1,0
0,5,2,0
0,5,3,0
0,5,4,0
0,5,5,0
0,5,6,0
0,5,7,0
0,6,0,0
0,6,1,0
0,6,2,0
0,6,3,0
0,6,4,0
0,6,5,0
0,6,6,0
0,6,7,0
0,7,0,0
0,7,1,0
0,7,2,0
0,7,3,0
0,7,4,0
0,7,5,0
0,7,6,0
0,7,7,0
0,8,0,0
0,8,1,0
0,8,2,0
0,8,3,0
0,8,4,0
0,8,5,0
0,8,6,0
0,8,7,0
0,9,0,0
0,9,1,0
0,9,2,0
0,9,3,0
0,9,4,0
0,9,5,0
0,9,6,0
0,9,7,0
0,10,0,0
0,10,1,0
0,10,2,0
0,10,3,0
0,10,4,0
0,10,5,0
0,10,6,0
0,10,7,0
0,11,0,0
0,11,1,0
0,11,2,0
0,11,3,0
0,11,4,0
0,11,5,0
0,11,6,0
0,11,7,0
0,12,0,0
0,12,1,0
0,12,2,0
0,12,3,0
0,12,4,0
0,12,5,0
0,12,6,0
0,12,7,0
0,13,0,0
0,13,1,0
0,13,2,0
0,13,3,0
0,13,4,0
0,13,5,0
0,13,6,0
0,13,7,0
0,14,0,0
0,14,1,0
0,14,2,0
0,14,3,0
0,14,4,0
0,14,5,0
0,14,6,0
0,14,7,0
0,15,0,0
0,15,1,0
0,15,2,0
0,15,3,0
0,15,4,0
0,15,5,0
0,15,6,0
0,15,7,0
0,16,0,0
0,16,1,0
0,16,2,0
0,16,3,0
0,16,4,0
0,16,5,0
0,16,6,0
0,16,7,0
0,17,0,0
0,17,1,0
0,17,2,0
0,17,3,0
0,17,4,0
0,17,5,0
0,17,6,0
0,17,7,0
1,0,0,0
1,0,1,0
1,0,2,0
1,0,3,0
1,0,4,0
1,0,5,0
1,0,6,0
1,0,7,0
1,1,0,0
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,1,7,0
1,2,0,0
1,2,1,0.0268337
1,2,2,0.0292457
1,2,3,0.0328747
1,2,4,0.0292457
1,2,5,0.0268337
1,2,6,0.02598
1,2,7,0.0268337
1,3,0,0
1,3,1,0.025322
1,3,2,0.0278651
1,3,3,0.0316528
1,3,4,0.0278651
1,3,5,0.025322
1,3,6,0.0244155
1,3,7,0.025322
1,4,0,0
1,4,1,0.0247478
1,4,2,0.0273443
1,4,3,0.0311953
1,4,4,0.0273443
1,4,5,0.0247478
1,4,6,0.0238194
1,4,7,0.0247478
1,5,0,0
1,5,1,0.0251752
1,5,2,0.0277318
1,5,3,0.0315355
1,5,4,0.0277318
1,5,5,0.0251752
1,5,6,0.0242632
1,5,7,0.0251752
1,6,0,0
1,6,1,0.0214105
1,6,2,0.0243653
1,6,3,0.02862
1,6,4,0.0243653
1,6,5,0.0214105
1,6,6,0.0203303
1,6,7,0.0214105
1,7,0,0
1,7,1,0.0177981
1,7,2,0.0212611
1,7,3,0.0260283
1,7,4,0.0212611
1,7,5,0.0177981
1,7,6,0.0164829
1,7,7,0.0177981
1,8,0,0
1,8,1,0.0150077
1,8,2,0.0189866
1,8,3,0.0242059
1,8,4,0.0189866
1,8,5,0.0150077
1,8,6,0.0134218
1,8,7,0.0150077
1,9,0,0
1,9,1,0.0135565
1,9,2,0.0178617
1,9,3,0.023334
1,9,4,0.0178617
1,9,5,0.0135565
1,9,6,0.0117767
1,9,7,0.0135565
1,10,0,0
1,10,1,0.0138714
1,10,2,0.0181019
1,10,3,0.0235183
1,10,4,0.0181019
1,10,5,0.0138714
1,10,6,0.0121379
1,10,7,0.0138714
1,11,0,0
1,11,1,0.0158476
1,11,2,0.0196572
1,11,3,0.0247354
1,11,4,0.0196572
1,11,5,0.0158476
1,11,6,0.0143547
1,11,7,0.0158476
1,12,0,0
1,12,1,0.0145665
1,12,2,0.0186398
1,12,3,0.0239349
1,12,4,0.0186398
1,12,5,0.0145665
1,12,6,0.0129265
1,12,7,0.0145665
1,13,0,0
1,13,1,0.0103894
1,13,2,0.0155949
1,13,3,0.021648
1,13,4,0.0155949
1,13,5,0.0103894
1,13,6,0.00792794
1,13,7,0.0103894
1,14,0,0
1,14,1,0.00733392
1,14,2,0.0137495
1,14,3,0.0203588
1,14,4,0.0137495
1,14,5,0.00733392
1,14,6,0.00294948
1,14,7,0.00733392
1,15,0,0
1,15,1,0
1,15,2,0
1,15,3,0
1,15,4,0
1,15,5,0
1,15,6,0
1,15,7,0
1,16,0,0
1,16,1,0
1,16,2,0
1,16,3,0
1,16,4,0
1,16,5,0
1,16,6,0
1,16,7,0
1,17,0,0
1,17,1,0
1,17,2,0
1,17,3,0
1,17,4,0
1,17,5,0
1,17,6,0
1,17,7,0
2,0,0,0
2,0,1,0
2,0,2,0
2,0,3,0
2,0,4,0
2,0,5,0
2,0,6,0
2,0,7,0
2,1,0,0
2,1,1,0
2,1,2,0
2,1,3,0
2,1,4,0
2,1,5,0
2,1,6,0
2,1,7,0
2,2,0,0
2,2,1,0.0599188
2,2,2,0.0610371
2,2,3,0.0628567
2,2,4,0.0610371
2,2,5,0.0599188
2,2,6,0.0595414
2,2,7,0.0599188
2,3,0,0
2,3,1,0.0582217
2,3,2,0.0593719
2,3,3,0.061241
2,3,4,0.0593719
2,3,5,0.0582217
2,3,6,0.0578332
2,3,7,0.0582217
2,4,0,0
2,4,1,0.0569154
2,4,2,0.0580915
2,4,3,0.0600004
2,4,4,0.0580915
2,4,5,0.0569154
2,4,6,0.0565179
2,4,7,0.0569154
2,5,0,0
2,5,1,0.0550793
2,5,2,0.0562938
2,5,3,0.0582617
2,5,4,0.0562938
2,5,5,0.0550793
2,5,6,0.0546685
2,5,7,0.0550793
2,6,0,0
2,6,1,0.052157
2,6,2,0.0534379
2,6,3,0.0555072
2,6,4,0.0534379
2,6,5,0.052157
2,6,6,0.0517229
2,6,7,0.052157
2,7,0,0
2,7,1,0.0495688
2,7,2,0.0509149
2,7,3,0.0530826
2,7,4,0.0509149
2,7,5,0.0495688
2,7,6,0.0491119
2,7,7,0.0495688
2,8,0,0
2,8,1,0.0473694
2,8,2,0.0487763
2,8,3,0.0510349
2,8,4,0.0487763
2,8,5,0.0473694
2,8,6,0.0468911
2,8,7,0.0473694
2,9,0,0
2,9,1,0.0456153
2,9,2,0.0470746
2,9,3,0.049411
2,9,4,0.0470746
2,9,5,0.0456153
2,9,6,0.0451184
2,9,7,0.0456153
2,10,0,0
2,10,1,0.0443592
2,10,2,0.0458585
2,10,3,0.0482539
2,10,4,0.0458585
2,10,5,0.0443592
2,10,6,0.0438481
2,10,7,0.0443592
2,11,0,0
2,11,1,0.0435721
2,11,2,0.0450976
2,11,3,0.0475313
2,11,4,0.0450976
2,11,5,0.0435721
2,11,6,0.0430516
2,11,7,0.0435721
2,12,0,0
2,12,1,0.0402808
2,12,2,0.0419261
2,12,3,0.0445335
2,12,4,0.0419261
2,12,5,0.0402808
2,12,6,0.0397172
2,12,7,0.0402808
2,13,0,0
2,13,1,0.0373717
2,13,2,0.0391395
2,13,3,0.0419206
2,13,4,0.0391395
2,13,5,0.0373717
2,13,6,0.0367635
2,13,7,0.0373717
2,14,0,0
2,14,1,0.0349404
2,14,2,0.0368252
2,14,3,0.0397685
2,14,4,0.0368252
2,14,5,0.0349404
2,14,6,0.0342892
2,14,7,0.0349404
2,15,0,0
2,15,1,0.0330926
2,15,2,0.0350768
2,15,3,0.0381551
2,15,4,0.0350768
2,15,5,0.0330926
2,15,6,0.0324042
2,15,7,0.0330926
2,16,0,0
2,16,1,0.0319295
2,16,2,0.0339817
2,16,3,0.0371509
2,16,4,0.0339817
2,16,5,0.0319295
2,16,6,0.0312155
2,16,7,0.0319295
2,17,0,0
2,17,1,0
2,17,2,0
2,17,3,0
2,17,4,0
2,17,5,0
2,17,6,0
2,17,7,0
3,0,0,0
3,0,1,0
3,0,2,0
3,0,3,0
3,0,4,0
3,0,5,0
3,0,6,0
3,0,7,0
3,1,0,0
3,1,1,0
3,1,2,0
3,1,3,0
3,1,4,0
3,1,5,0
3,1,6,0
3,1,7,0
3,2,0,0
3,2,1,0.0933533
3,2,2,0.0940749
3,2,3,0.0952656
3,2,4,0.0940749
3,2,5,0.0933533
3,2,6,0.0931115
3,2,7,0.0933533
3,3,0,0
3,3,1,0.0916116
3,3,2,0.0923468
3,3,3,0.0935595
3,3,4,0.0923468
3,3,5,0.0916116
3,3,6,0.0913651
3,3,7,0.0916116
3,4,0,0
3,4,1,0.0901145
3,4,2,0.0908618
3,4,3,0.092094
3,4,4,0.0908618
3,4,5,0.0901145
3,4,6,0.0898639
3,4,7,0.0901145
3,5,0,0
3,5,1,0.0875881
3,5,2,0.0883569
3,5,3,0.0896235
3,5,4,0.0883569
3,5,5,0.0875881
3,5,6,0.0873304
3,5,7,0.0875881
3,6,0,0
3,6,1,0.0850685
3,6,2,0.0858598
3,6,3,0.0871627
3,6,4,0.0858598
3,6,5,0.0850685
3,6,6,0.084803
3,6,7,0.0850685
3,7,0,0
3,7,1,0.082775
3,7,2,0.083588
3,7,3,0.0849258
3,7,4,0.083588
3,7,5,0.082775
3,7,6,0.0825022
3,7,7,0.082775
3,8,0,0
3,8,1,0.080727
3,8,2,0.0815604
3,8,3,0.0829309
3,8,4,0.0815604
3,8,5,0.080727
3,8,6,0.0804472
3,8,7,0.080727
3,9,0,0
3,9,1,0.0789435
3,9,2,0.0797956
3,9,3,0.0811959
3,9,4,0.0797956
3,9,5,0.0789435
3,9,6,0.0786575
3,9,7,0.0789435
3,10,0,0
3,10,1,0.077443
3,10,2,0.0783114
3,10,3,0.0797377
3,10,4,0.0783114
3,10,5,0.077443
3,10,6,0.0771513
3,10,7,0.077443
3,11,0,0
3,11,1,0.0753982
3,11,2,0.0762899
3,11,3,0.0777534
3,11,4,0.0762899
3,11,5,0.0753982
3,11,6,0.0750986
3,11,7,0.0753982
3,12,0,0
3,12,1,0.0727135
3,12,2,0.0736377
3,12,3,0.0751528
3,12,4,0.0736377
3,12,5,0.0727135
3,12,6,0.0724028
3,12,7,0.0727135
3,13,0,0
3,13,1,0.070283
3,13,2,0.0712387
3,13,3,0.0728038
3,13,4,0.0712387
3,13,5,0.070283
3,13,6,0.0699615
3,13,7,0.070283
3,14,0,0
3,14,1,0.0681339
3,14,2,0.0691194
3,14,3,0.0707314
3,14,4,0.0691194
3,14,5,0.0681339
3,14,6,0.0678023
3,14,7,0.0681339
3,15,0,0
3,15,1,0.0662938
3,15,2,0.0673062
3,15,3,0.0689606
3,15,4,0.0673062
3,15,5,0.0662938
3,15,6,0.0659528
3,15,7,0.0662938
3,16,0,0
3,16,1,0.0647887
3,16,2,0.0658243
3,16,3,0.067515
3,16,4,0.0658243
3,16,5,0.0647887
3,16,6,0.0644398
3,16,7,0.0647887
3,17,0,0
3,17,1,0
3,17,2,0
3,17,3,0
3,17,4,0
3,17,5,0
3,17,6,0
3,17,7,0
4,0,0,0
4,0,1,0
4,0,2,0
4,0,3,0
4,0,4,0
4,0,5,0
4,0,6,0
4,0,7,0
4,1,0,0
4,1,1,0
4,1,2,0
4,1,3,0
4,1,4,0
4,1,5,0
4,1,6,0
4,1,7,0
4,2,0,0
4,2,1,0.126861
4,2,2,0.127393
4,2,3,0.128275
4,2,4,0.127393
4,2,5,0.126861
4,2,6,0.126683
4,2,7,0.126861
4,3,0,0
4,3,1,0.1251
4,3,2,0.125639
4,3,3,0.126533
4,3,4,0.125639
4,3,5,0.1251
4,3,6,0.124919
4,3,7,0.1251
4,4,0,0
4,4,1,0.12317
4,4,2,0.123717
4,4,3,0.124625
4,4,4,0.123717
4,4,5,0.12317
4,4,6,0.122986
4,4,7,0.12317
4,5,0,0
4,5,1,0.120681
4,5,2,0.12124
4,5,3,0.122167
4,5,4,0.12124
4,5,5,0.120681
4,5,6,0.120494
4,5,7,0.120681
4,6,0,0
4,6,1,0.118352
4,6,2,0.118922
4,6,3,0.119867
4,6,4,0.118922
4,6,5,0.118352
4,6,6,0.118162
4,6,7,0.118352
4,7,0,0
4,7,1,0.116192
4,7,2,0.116773
4,7,3,0.117734
4,7,4,0.116773
4,7,5,0.116192
4,7,6,0.115998
4,7,7,0.116192
4,8,0,0
4,8,1,0.114211
4,8,2,0.114802
4,8,3,0.115779
4,8,4,0.114802
4,8,5,0.114211
4,8,6,0.114014
4,8,7,0.114211
4,9,0,0
4,9,1,0.112418
4,9,2,0.113018
4,9,3,0.114011
4,9,4,0.113018
4,9,5,0.112418
4,9,6,0.112217
4,9,7,0.112418
4,10,0,0
4,10,1,0.110822
4,10,2,0.11143
4,10,3,0.112437
4,10,4,0.11143
4,10,5,0.110822
4,10,6,0.110618
4,10,7,0.110822
4,11,0,0
4,11,1,0.108285
4,11,2,0.108908
4,11,3,0.109938
4,11,4,0.108908
4,11,5,0.108285
4,11,6,0.108076
4,11,7,0.108285
4,12,0,0
4,12,1,0.10586
4,12,2,0.106497
4,12,3,0.10755
4,12,4,0.106497
4,12,5,0.10586
4,12,6,0.105647
4,12,7,0.10586
4,13,0,0
4,13,1,0.10362
4,13,2,0.104271
4,13,3,0.105346
4,13,4,0.104271
4,13,5,0.10362
4,13,6,0.103402
4,13,7,0.10362
4,14,0,0
4,14,1,0.101577
4,14,2,0.102241
4,14,3,0.103338
4,14,4,0.102241
4,14,5,0.101577
4,14,6,0.101355
4,14,7,0.101577
4,15,0,0
4,15,1,0.0997445
4,15,2,0.10042
4,15,3,0.101536
4,15,4,0.10042
4,15,5,0.0997445
4,15,6,0.0995182
4,15,7,0.0997445
4,16,0,0
4,16,1,0.0981327
4,16,2,0.0988194
4,16,3,0.0999536
4,16,4,0.0988194
4,16,5,0.0981327
4,16,6,0.0979027
4,16,7,0.0981327
4,17,0,0
4,17,1,0
4,17,2,0
4,17,3,0
4,17,4,0
4,17,5,0
4,17,6,0
4,17,7,0
5,0,0,0
5,0,1,0
5,0,2,0
5,0,3,0
5,0,4,0
5,0,5,0
5,0,6,0
5,0,7,0
5,1,0,0
5,1,1,0.162304
5,1,2,0.16272
5,1,3,0.163411
5,1,4,0.16272
5,1,5,0.162304
5,1,6,0.162165
5,1,7,0.162304
5,2,0,0
5,2,1,0.160396
5,2,2,0.160818
5,2,3,0.161517
5,2,4,0.160818
5,2,5,0.160396
5,2,6,0.160256
5,2,7,0.160396
5,3,0,0
5,3,1,0.158624
5,3,2,0.15905
5,3,3,0.159757
5,3,4,0.15905
5,3,5,0.158624
5,3,6,0.158482
5,3,7,0.158624
5,4,0,0
5,4,1,0.15633
5,4,2,0.156762
